lr,batch_size,num_channels,winning_rate_random,winning_rate_mcts
Learning rate,Batch size,Number of channels,Winning rate against random,Winning rate against MCTS
0.1,32,256,"[0.5, 0.45, 0.65, 0.4]","[0.1, 0.3, 0.2, 0.15]"
0.1,32,512,"[0.3, 0.3, 0.5]","[0.3, 0.2, 0.15]"
0.1,64,256,"[0.6, 0.75, 0.45, 0.55]","[0.15, 0.3, 0.2, 0.25]"
0.1,64,512,"[0.5, 0.5]","[0.15, 0.05]"
0.01,32,256,[0.9],[0.85]
0.01,32,512,"[0.45, 0.5, 0.55]","[0.25, 0.55, 0.1]"
0.01,64,256,"[0.85, 0.75, 0.55]","[0.65, 0.35, 0.25]"
0.01,64,512,"[0.3, 0.35, 0.3]","[0.15, 0.05, 0.0]"
0.001,32,256,"[0.9, 0.75]","[0.95, 0.45]"
0.001,32,512,"[0.75, 0.7]","[0.75, 0.6]"
0.001,64,256,"[0.55, 0.25, 0.3]","[0.0, 0.05, 0.0]"
0.001,64,512,"[0.75, 0.95, 0.65]","[0.5, 0.85, 0.75]"
0.0001,32,256,"[1.0, 0.4, 0.55]","[0.7, 0.05, 0.25]"
0.0001,32,512,"[0.95, 1.0, 0.9]","[0.75, 0.5, 0.75]"
0.0001,64,256,"[0.75, 0.7]","[0.45, 0.4]"
0.0001,64,512,"[0.5, 0.55, 0.35, 0.45]","[0.35, 0.25, 0.1, 0.1]"
